"","date","common_holiday"
"159",2001-06-29,"Non-holiday"
"160",2001-06-30,"Non-holiday"
"161",2001-07-01,"Non-holiday"
"162",2001-07-02,"Non-holiday"
"163",2001-07-03,"Non-holiday"
"164",2001-07-04,"Holiday"
"165",2001-07-05,"Non-holiday"
"166",2001-07-06,"Non-holiday"
"167",2001-07-07,"Non-holiday"
"168",2001-07-08,"Non-holiday"
"169",2001-07-09,"Non-holiday"
"170",2001-07-10,"Non-holiday"
"171",2001-07-11,"Non-holiday"
"172",2001-07-12,"Non-holiday"
"173",2001-07-13,"Non-holiday"
"174",2001-07-14,"Non-holiday"
"175",2001-07-15,"Non-holiday"
"176",2001-07-16,"Non-holiday"
"177",2001-07-17,"Non-holiday"
"178",2001-07-18,"Non-holiday"
"179",2001-07-19,"Non-holiday"
"180",2001-07-20,"Non-holiday"
"181",2001-07-21,"Non-holiday"
"182",2001-07-22,"Non-holiday"
"183",2001-07-23,"Non-holiday"
"184",2001-07-24,"Non-holiday"
"185",2001-07-25,"Non-holiday"
"186",2001-07-26,"Non-holiday"
"187",2001-07-27,"Non-holiday"
"188",2001-07-28,"Non-holiday"
"189",2001-07-29,"Non-holiday"
"190",2001-07-30,"Non-holiday"
"191",2001-07-31,"Non-holiday"
"192",2001-08-01,"Non-holiday"
"193",2001-08-02,"Non-holiday"
"194",2001-08-03,"Non-holiday"
"195",2001-08-04,"Non-holiday"
"196",2001-08-05,"Non-holiday"
"197",2001-08-06,"Non-holiday"
"198",2001-08-07,"Non-holiday"
"199",2001-08-08,"Non-holiday"
"200",2001-08-09,"Non-holiday"
"201",2001-08-10,"Non-holiday"
"202",2001-08-11,"Non-holiday"
"203",2001-08-12,"Non-holiday"
"204",2001-08-13,"Non-holiday"
"205",2001-08-14,"Non-holiday"
"206",2001-08-15,"Non-holiday"
"207",2001-08-16,"Non-holiday"
"208",2001-08-17,"Non-holiday"
"209",2001-08-18,"Non-holiday"
"210",2001-08-19,"Non-holiday"
"211",2001-08-20,"Non-holiday"
"212",2001-08-21,"Non-holiday"
"213",2001-08-22,"Non-holiday"
"214",2001-08-23,"Non-holiday"
"215",2001-08-24,"Non-holiday"
"216",2001-08-25,"Non-holiday"
"217",2001-08-26,"Non-holiday"
"218",2001-08-27,"Non-holiday"
"219",2001-08-28,"Non-holiday"
"220",2001-08-29,"Non-holiday"
"221",2001-08-30,"Non-holiday"
"222",2001-08-31,"Non-holiday"
"223",2001-09-01,"Non-holiday"
"224",2001-09-02,"Non-holiday"
"225",2001-09-03,"Holiday"
"226",2001-09-04,"Non-holiday"
"227",2001-09-05,"Non-holiday"
"228",2001-09-06,"Non-holiday"
"229",2001-09-07,"Non-holiday"
"230",2001-09-08,"Non-holiday"
"231",2001-09-09,"Non-holiday"
"232",2001-09-10,"Non-holiday"
"233",2001-09-11,"Non-holiday"
"234",2001-09-12,"Non-holiday"
"235",2001-09-13,"Non-holiday"
"236",2001-09-14,"Non-holiday"
"237",2001-09-15,"Non-holiday"
"238",2001-09-16,"Non-holiday"
"239",2001-09-17,"Non-holiday"
"240",2001-09-18,"Non-holiday"
"241",2001-09-19,"Non-holiday"
"242",2001-09-20,"Non-holiday"
"243",2001-09-21,"Non-holiday"
"244",2001-09-22,"Non-holiday"
"245",2001-09-23,"Non-holiday"
"246",2001-09-24,"Non-holiday"
"247",2001-09-25,"Non-holiday"
"248",2001-09-26,"Non-holiday"
"249",2001-09-27,"Non-holiday"
"250",2001-09-28,"Non-holiday"
"251",2001-09-29,"Non-holiday"
"252",2001-09-30,"Non-holiday"
"253",2001-10-01,"Non-holiday"
"254",2001-10-02,"Non-holiday"
"255",2001-10-03,"Non-holiday"
"256",2001-10-04,"Non-holiday"
"257",2001-10-05,"Non-holiday"
"258",2001-10-06,"Non-holiday"
"259",2001-10-07,"Non-holiday"
"260",2001-10-08,"Non-holiday"
"261",2001-10-09,"Non-holiday"
"262",2001-10-10,"Non-holiday"
"263",2001-10-11,"Non-holiday"
"264",2001-10-12,"Non-holiday"
"265",2001-10-13,"Non-holiday"
"266",2001-10-14,"Non-holiday"
"267",2001-10-15,"Non-holiday"
"268",2001-10-16,"Non-holiday"
"269",2001-10-17,"Non-holiday"
"270",2001-10-18,"Non-holiday"
"271",2001-10-19,"Non-holiday"
"272",2001-10-20,"Non-holiday"
"273",2001-10-21,"Non-holiday"
"274",2001-10-22,"Non-holiday"
"275",2001-10-23,"Non-holiday"
"276",2001-10-24,"Non-holiday"
"277",2001-10-25,"Non-holiday"
"278",2001-10-26,"Non-holiday"
"279",2001-10-27,"Non-holiday"
"280",2001-10-28,"Non-holiday"
"281",2001-10-29,"Non-holiday"
"282",2001-10-30,"Non-holiday"
"283",2001-10-31,"Non-holiday"
"284",2001-11-01,"Non-holiday"
"285",2001-11-02,"Non-holiday"
"286",2001-11-03,"Non-holiday"
"287",2001-11-04,"Non-holiday"
"288",2001-11-05,"Non-holiday"
"289",2001-11-06,"Non-holiday"
"290",2001-11-07,"Non-holiday"
"291",2001-11-08,"Non-holiday"
"292",2001-11-09,"Non-holiday"
"293",2001-11-10,"Non-holiday"
"294",2001-11-11,"Non-holiday"
"295",2001-11-12,"Non-holiday"
"296",2001-11-13,"Non-holiday"
"297",2001-11-14,"Non-holiday"
"298",2001-11-15,"Non-holiday"
"299",2001-11-16,"Non-holiday"
"300",2001-11-17,"Non-holiday"
"301",2001-11-18,"Non-holiday"
"302",2001-11-19,"Non-holiday"
"303",2001-11-20,"Non-holiday"
"304",2001-11-21,"Non-holiday"
"305",2001-11-22,"Holiday"
"306",2001-11-23,"Holiday"
"307",2001-11-24,"Non-holiday"
"308",2001-11-25,"Non-holiday"
"309",2001-11-26,"Non-holiday"
"310",2001-11-27,"Non-holiday"
"311",2001-11-28,"Non-holiday"
"312",2001-11-29,"Non-holiday"
"313",2001-11-30,"Non-holiday"
"314",2001-12-01,"Non-holiday"
"315",2001-12-02,"Non-holiday"
"316",2001-12-03,"Non-holiday"
"317",2001-12-04,"Non-holiday"
"318",2001-12-05,"Non-holiday"
"319",2001-12-06,"Non-holiday"
"320",2001-12-07,"Non-holiday"
"321",2001-12-08,"Non-holiday"
"322",2001-12-09,"Non-holiday"
"323",2001-12-10,"Non-holiday"
"324",2001-12-11,"Non-holiday"
"325",2001-12-12,"Non-holiday"
"326",2001-12-13,"Non-holiday"
"327",2001-12-14,"Non-holiday"
"328",2001-12-15,"Non-holiday"
"329",2001-12-16,"Non-holiday"
"330",2001-12-17,"Non-holiday"
"331",2001-12-18,"Non-holiday"
"332",2001-12-19,"Non-holiday"
"333",2001-12-20,"Non-holiday"
"334",2001-12-21,"Non-holiday"
"335",2001-12-22,"Non-holiday"
"336",2001-12-23,"Non-holiday"
"337",2001-12-24,"Holiday"
"338",2001-12-25,"Holiday"
"339",2001-12-26,"Holiday"
"340",2001-12-27,"Non-holiday"
"341",2001-12-28,"Non-holiday"
"342",2001-12-29,"Non-holiday"
"343",2001-12-30,"Non-holiday"
"344",2001-12-31,"Holiday"
"345",2002-01-01,"Holiday"
"346",2002-01-02,"Non-holiday"
"347",2002-01-03,"Non-holiday"
"348",2002-01-04,"Non-holiday"
"349",2002-01-05,"Non-holiday"
"350",2002-01-06,"Non-holiday"
"351",2002-01-07,"Non-holiday"
"352",2002-01-08,"Non-holiday"
"353",2002-01-09,"Non-holiday"
"354",2002-01-10,"Non-holiday"
"355",2002-01-11,"Non-holiday"
"356",2002-01-12,"Non-holiday"
"357",2002-01-13,"Non-holiday"
"358",2002-01-14,"Non-holiday"
"359",2002-01-15,"Non-holiday"
"360",2002-01-16,"Non-holiday"
"361",2002-01-17,"Non-holiday"
"362",2002-01-18,"Non-holiday"
"363",2002-01-19,"Non-holiday"
"364",2002-01-20,"Non-holiday"
"365",2002-01-21,"Holiday"
"366",2002-01-22,"Non-holiday"
"367",2002-01-23,"Non-holiday"
"368",2002-01-24,"Non-holiday"
"369",2002-01-25,"Non-holiday"
"370",2002-01-26,"Non-holiday"
"371",2002-01-27,"Non-holiday"
"372",2002-01-28,"Non-holiday"
"373",2002-01-29,"Non-holiday"
"374",2002-01-30,"Non-holiday"
"375",2002-01-31,"Non-holiday"
"376",2002-02-01,"Non-holiday"
"377",2002-02-02,"Non-holiday"
"378",2002-02-03,"Non-holiday"
"379",2002-02-04,"Non-holiday"
"380",2002-02-05,"Non-holiday"
"381",2002-02-06,"Non-holiday"
"382",2002-02-07,"Non-holiday"
"383",2002-02-08,"Non-holiday"
"384",2002-02-09,"Non-holiday"
"385",2002-02-10,"Non-holiday"
"386",2002-02-11,"Non-holiday"
"387",2002-02-12,"Non-holiday"
"388",2002-02-13,"Non-holiday"
"389",2002-02-14,"Non-holiday"
"390",2002-02-15,"Non-holiday"
"391",2002-02-16,"Non-holiday"
"392",2002-02-17,"Non-holiday"
"393",2002-02-18,"Holiday"
"394",2002-02-19,"Non-holiday"
"395",2002-02-20,"Non-holiday"
"396",2002-02-21,"Non-holiday"
"397",2002-02-22,"Non-holiday"
"398",2002-02-23,"Non-holiday"
"399",2002-02-24,"Non-holiday"
"400",2002-02-25,"Non-holiday"
"401",2002-02-26,"Non-holiday"
"402",2002-02-27,"Non-holiday"
"403",2002-02-28,"Non-holiday"
"404",2002-03-01,"Non-holiday"
"405",2002-03-02,"Non-holiday"
"406",2002-03-03,"Non-holiday"
"407",2002-03-04,"Non-holiday"
"408",2002-03-05,"Non-holiday"
"409",2002-03-06,"Non-holiday"
"410",2002-03-07,"Non-holiday"
"411",2002-03-08,"Non-holiday"
"412",2002-03-09,"Non-holiday"
"413",2002-03-10,"Non-holiday"
"414",2002-03-11,"Non-holiday"
"415",2002-03-12,"Non-holiday"
"416",2002-03-13,"Non-holiday"
"417",2002-03-14,"Non-holiday"
"418",2002-03-15,"Non-holiday"
"419",2002-03-16,"Non-holiday"
"420",2002-03-17,"Non-holiday"
"421",2002-03-18,"Non-holiday"
"422",2002-03-19,"Non-holiday"
"423",2002-03-20,"Non-holiday"
"424",2002-03-21,"Non-holiday"
"425",2002-03-22,"Non-holiday"
"426",2002-03-23,"Non-holiday"
"427",2002-03-24,"Non-holiday"
"428",2002-03-25,"Non-holiday"
"429",2002-03-26,"Non-holiday"
"430",2002-03-27,"Non-holiday"
"431",2002-03-28,"Non-holiday"
"432",2002-03-29,"Non-holiday"
"433",2002-03-30,"Non-holiday"
"434",2002-03-31,"Non-holiday"
"435",2002-04-01,"Non-holiday"
"436",2002-04-02,"Non-holiday"
"437",2002-04-03,"Non-holiday"
"438",2002-04-04,"Non-holiday"
"439",2002-04-05,"Non-holiday"
"440",2002-04-06,"Non-holiday"
"441",2002-04-07,"Non-holiday"
"442",2002-04-08,"Non-holiday"
"443",2002-04-09,"Non-holiday"
"444",2002-04-10,"Non-holiday"
"445",2002-04-11,"Non-holiday"
"446",2002-04-12,"Non-holiday"
"447",2002-04-13,"Non-holiday"
"448",2002-04-14,"Non-holiday"
"449",2002-04-15,"Non-holiday"
"450",2002-04-16,"Non-holiday"
"451",2002-04-17,"Non-holiday"
"452",2002-04-18,"Non-holiday"
"453",2002-04-19,"Non-holiday"
"454",2002-04-20,"Non-holiday"
"455",2002-04-21,"Non-holiday"
"456",2002-04-22,"Non-holiday"
"457",2002-04-23,"Non-holiday"
"458",2002-04-24,"Non-holiday"
"459",2002-04-25,"Non-holiday"
"460",2002-04-26,"Non-holiday"
"461",2002-04-27,"Non-holiday"
"462",2002-04-28,"Non-holiday"
"463",2002-04-29,"Non-holiday"
"464",2002-04-30,"Non-holiday"
"465",2002-05-01,"Non-holiday"
"466",2002-05-02,"Non-holiday"
"467",2002-05-03,"Non-holiday"
"468",2002-05-04,"Non-holiday"
"469",2002-05-05,"Non-holiday"
"470",2002-05-06,"Non-holiday"
"471",2002-05-07,"Non-holiday"
"472",2002-05-08,"Non-holiday"
"473",2002-05-09,"Non-holiday"
"474",2002-05-10,"Non-holiday"
"475",2002-05-11,"Non-holiday"
"476",2002-05-12,"Non-holiday"
"477",2002-05-13,"Non-holiday"
"478",2002-05-14,"Non-holiday"
"479",2002-05-15,"Non-holiday"
"480",2002-05-16,"Non-holiday"
"481",2002-05-17,"Non-holiday"
"482",2002-05-18,"Non-holiday"
"483",2002-05-19,"Non-holiday"
"484",2002-05-20,"Non-holiday"
"485",2002-05-21,"Non-holiday"
"486",2002-05-22,"Non-holiday"
"487",2002-05-23,"Non-holiday"
"488",2002-05-24,"Non-holiday"
"489",2002-05-25,"Non-holiday"
"490",2002-05-26,"Non-holiday"
"491",2002-05-27,"Holiday"
"492",2002-05-28,"Non-holiday"
"493",2002-05-29,"Non-holiday"
"494",2002-05-30,"Non-holiday"
"495",2002-05-31,"Non-holiday"
"496",2002-06-01,"Non-holiday"
"497",2002-06-02,"Non-holiday"
"498",2002-06-03,"Non-holiday"
"499",2002-06-04,"Non-holiday"
"500",2002-06-05,"Non-holiday"
"501",2002-06-06,"Non-holiday"
"502",2002-06-07,"Non-holiday"
"503",2002-06-08,"Non-holiday"
"504",2002-06-09,"Non-holiday"
"505",2002-06-10,"Non-holiday"
"506",2002-06-11,"Non-holiday"
"507",2002-06-12,"Non-holiday"
"508",2002-06-13,"Non-holiday"
"509",2002-06-14,"Non-holiday"
"510",2002-06-15,"Non-holiday"
"511",2002-06-16,"Non-holiday"
"512",2002-06-17,"Non-holiday"
"513",2002-06-18,"Non-holiday"
"514",2002-06-19,"Non-holiday"
"515",2002-06-20,"Non-holiday"
"516",2002-06-21,"Non-holiday"
"517",2002-06-22,"Non-holiday"
"518",2002-06-23,"Non-holiday"
"519",2002-06-24,"Non-holiday"
"520",2002-06-25,"Non-holiday"
"521",2002-06-26,"Non-holiday"
"522",2002-06-27,"Non-holiday"
"523",2002-06-28,"Non-holiday"
"524",2002-06-29,"Non-holiday"
"525",2002-06-30,"Non-holiday"
"526",2002-07-01,"Non-holiday"
"527",2002-07-02,"Non-holiday"
"528",2002-07-03,"Non-holiday"
"529",2002-07-04,"Holiday"
"530",2002-07-05,"Holiday"
"531",2002-07-06,"Non-holiday"
"532",2002-07-07,"Non-holiday"
"533",2002-07-08,"Non-holiday"
"534",2002-07-09,"Non-holiday"
"535",2002-07-10,"Non-holiday"
"536",2002-07-11,"Non-holiday"
"537",2002-07-12,"Non-holiday"
"538",2002-07-13,"Non-holiday"
"539",2002-07-14,"Non-holiday"
"540",2002-07-15,"Non-holiday"
"541",2002-07-16,"Non-holiday"
"542",2002-07-17,"Non-holiday"
"543",2002-07-18,"Non-holiday"
"544",2002-07-19,"Non-holiday"
"545",2002-07-20,"Non-holiday"
"546",2002-07-21,"Non-holiday"
"547",2002-07-22,"Non-holiday"
"548",2002-07-23,"Non-holiday"
"549",2002-07-24,"Non-holiday"
"550",2002-07-25,"Non-holiday"
"551",2002-07-26,"Non-holiday"
"552",2002-07-27,"Non-holiday"
"553",2002-07-28,"Non-holiday"
"554",2002-07-29,"Non-holiday"
"555",2002-07-30,"Non-holiday"
"556",2002-07-31,"Non-holiday"
"557",2002-08-01,"Non-holiday"
"558",2002-08-02,"Non-holiday"
"559",2002-08-03,"Non-holiday"
"560",2002-08-04,"Non-holiday"
"561",2002-08-05,"Non-holiday"
"562",2002-08-06,"Non-holiday"
"563",2002-08-07,"Non-holiday"
"564",2002-08-08,"Non-holiday"
"565",2002-08-09,"Non-holiday"
"566",2002-08-10,"Non-holiday"
"567",2002-08-11,"Non-holiday"
"568",2002-08-12,"Non-holiday"
"569",2002-08-13,"Non-holiday"
"570",2002-08-14,"Non-holiday"
"571",2002-08-15,"Non-holiday"
"572",2002-08-16,"Non-holiday"
"573",2002-08-17,"Non-holiday"
"574",2002-08-18,"Non-holiday"
"575",2002-08-19,"Non-holiday"
"576",2002-08-20,"Non-holiday"
"577",2002-08-21,"Non-holiday"
"578",2002-08-22,"Non-holiday"
"579",2002-08-23,"Non-holiday"
"580",2002-08-24,"Non-holiday"
"581",2002-08-25,"Non-holiday"
"582",2002-08-26,"Non-holiday"
"583",2002-08-27,"Non-holiday"
"584",2002-08-28,"Non-holiday"
"585",2002-08-29,"Non-holiday"
"586",2002-08-30,"Non-holiday"
"587",2002-08-31,"Non-holiday"
"588",2002-09-01,"Non-holiday"
"589",2002-09-02,"Holiday"
"590",2002-09-03,"Non-holiday"
"591",2002-09-04,"Non-holiday"
"592",2002-09-05,"Non-holiday"
"593",2002-09-06,"Non-holiday"
"594",2002-09-07,"Non-holiday"
"595",2002-09-08,"Non-holiday"
"596",2002-09-09,"Non-holiday"
"597",2002-09-10,"Non-holiday"
"598",2002-09-11,"Non-holiday"
"599",2002-09-12,"Non-holiday"
"600",2002-09-13,"Non-holiday"
"601",2002-09-14,"Non-holiday"
"602",2002-09-15,"Non-holiday"
"603",2002-09-16,"Non-holiday"
"604",2002-09-17,"Non-holiday"
"605",2002-09-18,"Non-holiday"
"606",2002-09-19,"Non-holiday"
"607",2002-09-20,"Non-holiday"
"608",2002-09-21,"Non-holiday"
"609",2002-09-22,"Non-holiday"
"610",2002-09-23,"Non-holiday"
"611",2002-09-24,"Non-holiday"
"612",2002-09-25,"Non-holiday"
"613",2002-09-26,"Non-holiday"
"614",2002-09-27,"Non-holiday"
"615",2002-09-28,"Non-holiday"
"616",2002-09-29,"Non-holiday"
"617",2002-09-30,"Non-holiday"
"618",2002-10-01,"Non-holiday"
"619",2002-10-02,"Non-holiday"
"620",2002-10-03,"Non-holiday"
"621",2002-10-04,"Non-holiday"
"622",2002-10-05,"Non-holiday"
"623",2002-10-06,"Non-holiday"
"624",2002-10-07,"Non-holiday"
"625",2002-10-08,"Non-holiday"
"626",2002-10-09,"Non-holiday"
"627",2002-10-10,"Non-holiday"
"628",2002-10-11,"Non-holiday"
"629",2002-10-12,"Non-holiday"
"630",2002-10-13,"Non-holiday"
"631",2002-10-14,"Non-holiday"
"632",2002-10-15,"Non-holiday"
"633",2002-10-16,"Non-holiday"
"634",2002-10-17,"Non-holiday"
"635",2002-10-18,"Non-holiday"
"636",2002-10-19,"Non-holiday"
"637",2002-10-20,"Non-holiday"
"638",2002-10-21,"Non-holiday"
"639",2002-10-22,"Non-holiday"
"640",2002-10-23,"Non-holiday"
"641",2002-10-24,"Non-holiday"
"642",2002-10-25,"Non-holiday"
"643",2002-10-26,"Non-holiday"
"644",2002-10-27,"Non-holiday"
"645",2002-10-28,"Non-holiday"
"646",2002-10-29,"Non-holiday"
"647",2002-10-30,"Non-holiday"
"648",2002-10-31,"Non-holiday"
"649",2002-11-01,"Non-holiday"
"650",2002-11-02,"Non-holiday"
"651",2002-11-03,"Non-holiday"
"652",2002-11-04,"Non-holiday"
"653",2002-11-05,"Non-holiday"
"654",2002-11-06,"Non-holiday"
"655",2002-11-07,"Non-holiday"
"656",2002-11-08,"Non-holiday"
"657",2002-11-09,"Non-holiday"
"658",2002-11-10,"Non-holiday"
"659",2002-11-11,"Non-holiday"
"660",2002-11-12,"Non-holiday"
"661",2002-11-13,"Non-holiday"
"662",2002-11-14,"Non-holiday"
"663",2002-11-15,"Non-holiday"
"664",2002-11-16,"Non-holiday"
"665",2002-11-17,"Non-holiday"
"666",2002-11-18,"Non-holiday"
"667",2002-11-19,"Non-holiday"
"668",2002-11-20,"Non-holiday"
"669",2002-11-21,"Non-holiday"
"670",2002-11-22,"Non-holiday"
"671",2002-11-23,"Non-holiday"
"672",2002-11-24,"Non-holiday"
"673",2002-11-25,"Non-holiday"
"674",2002-11-26,"Non-holiday"
"675",2002-11-27,"Non-holiday"
"676",2002-11-28,"Holiday"
"677",2002-11-29,"Holiday"
"678",2002-11-30,"Non-holiday"
"679",2002-12-01,"Non-holiday"
"680",2002-12-02,"Non-holiday"
"681",2002-12-03,"Non-holiday"
"682",2002-12-04,"Non-holiday"
"683",2002-12-05,"Non-holiday"
"684",2002-12-06,"Non-holiday"
"685",2002-12-07,"Non-holiday"
"686",2002-12-08,"Non-holiday"
"687",2002-12-09,"Non-holiday"
"688",2002-12-10,"Non-holiday"
"689",2002-12-11,"Non-holiday"
"690",2002-12-12,"Non-holiday"
"691",2002-12-13,"Non-holiday"
"692",2002-12-14,"Non-holiday"
"693",2002-12-15,"Non-holiday"
"694",2002-12-16,"Non-holiday"
"695",2002-12-17,"Non-holiday"
"696",2002-12-18,"Non-holiday"
"697",2002-12-19,"Non-holiday"
"698",2002-12-20,"Non-holiday"
"699",2002-12-21,"Non-holiday"
"700",2002-12-22,"Non-holiday"
"701",2002-12-23,"Non-holiday"
"702",2002-12-24,"Holiday"
"703",2002-12-25,"Holiday"
"704",2002-12-26,"Non-holiday"
"705",2002-12-27,"Non-holiday"
"706",2002-12-28,"Non-holiday"
"707",2002-12-29,"Non-holiday"
"708",2002-12-30,"Non-holiday"
"709",2002-12-31,"Non-holiday"
"710",2003-01-01,"Holiday"
"711",2003-01-02,"Non-holiday"
"712",2003-01-03,"Non-holiday"
"713",2003-01-04,"Non-holiday"
"714",2003-01-05,"Non-holiday"
"715",2003-01-06,"Non-holiday"
"716",2003-01-07,"Non-holiday"
"717",2003-01-08,"Non-holiday"
"718",2003-01-09,"Non-holiday"
"719",2003-01-10,"Non-holiday"
"720",2003-01-11,"Non-holiday"
"721",2003-01-12,"Non-holiday"
"722",2003-01-13,"Non-holiday"
"723",2003-01-14,"Non-holiday"
"724",2003-01-15,"Non-holiday"
"725",2003-01-16,"Non-holiday"
"726",2003-01-17,"Non-holiday"
"727",2003-01-18,"Non-holiday"
"728",2003-01-19,"Non-holiday"
"729",2003-01-20,"Holiday"
"730",2003-01-21,"Non-holiday"
"731",2003-01-22,"Non-holiday"
"732",2003-01-23,"Non-holiday"
"733",2003-01-24,"Non-holiday"
"734",2003-01-25,"Non-holiday"
"735",2003-01-26,"Non-holiday"
"736",2003-01-27,"Non-holiday"
"737",2003-01-28,"Non-holiday"
"738",2003-01-29,"Non-holiday"
