"","date","lag_14_name","Rides","name","description"
"163",2016-08-16,"l14_40040",9.079,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"164",2016-08-17,"l14_40040",8.768,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"165",2016-08-18,"l14_40040",8.481,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"166",2016-08-19,"l14_40040",7.347,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"167",2016-08-22,"l14_40040",8.713,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"168",2016-08-23,"l14_40040",8.592,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"169",2016-08-24,"l14_40040",8.811,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"170",2016-08-25,"l14_40040",8.685,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"171",2016-08-26,"l14_40040",7.758,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"172",2016-01-01,"l14_40050",3.836,"Davis","Davis (Purple Line)"
"173",2016-01-04,"l14_40050",3.238,"Davis","Davis (Purple Line)"
"174",2016-01-05,"l14_40050",3.285,"Davis","Davis (Purple Line)"
"175",2016-01-06,"l14_40050",2.68,"Davis","Davis (Purple Line)"
"176",2016-01-07,"l14_40050",1.701,"Davis","Davis (Purple Line)"
"177",2016-01-08,"l14_40050",0.801,"Davis","Davis (Purple Line)"
"178",2016-01-11,"l14_40050",2.405,"Davis","Davis (Purple Line)"
"179",2016-01-12,"l14_40050",3.007,"Davis","Davis (Purple Line)"
"180",2016-01-13,"l14_40050",2.913,"Davis","Davis (Purple Line)"
"181",2016-01-14,"l14_40050",2.661,"Davis","Davis (Purple Line)"
"182",2016-01-15,"l14_40050",1.415,"Davis","Davis (Purple Line)"
"183",2016-01-18,"l14_40050",3.505,"Davis","Davis (Purple Line)"
"184",2016-01-19,"l14_40050",3.675,"Davis","Davis (Purple Line)"
"185",2016-01-20,"l14_40050",3.686,"Davis","Davis (Purple Line)"
"186",2016-01-21,"l14_40050",3.71,"Davis","Davis (Purple Line)"
"187",2016-01-22,"l14_40050",3.916,"Davis","Davis (Purple Line)"
"188",2016-01-25,"l14_40050",3.486,"Davis","Davis (Purple Line)"
"189",2016-01-26,"l14_40050",3.387,"Davis","Davis (Purple Line)"
"190",2016-01-27,"l14_40050",3.479,"Davis","Davis (Purple Line)"
"191",2016-01-28,"l14_40050",3.824,"Davis","Davis (Purple Line)"
"192",2016-01-29,"l14_40050",3.956,"Davis","Davis (Purple Line)"
"193",2016-02-01,"l14_40050",2.319,"Davis","Davis (Purple Line)"
"194",2016-02-02,"l14_40050",3.531,"Davis","Davis (Purple Line)"
"195",2016-02-03,"l14_40050",3.764,"Davis","Davis (Purple Line)"
"196",2016-02-04,"l14_40050",3.683,"Davis","Davis (Purple Line)"
"197",2016-02-05,"l14_40050",3.947,"Davis","Davis (Purple Line)"
"198",2016-02-08,"l14_40050",3.592,"Davis","Davis (Purple Line)"
"199",2016-02-09,"l14_40050",3.641,"Davis","Davis (Purple Line)"
"200",2016-02-10,"l14_40050",3.682,"Davis","Davis (Purple Line)"
"201",2016-02-11,"l14_40050",3.74,"Davis","Davis (Purple Line)"
"202",2016-02-12,"l14_40050",3.863,"Davis","Davis (Purple Line)"
"203",2016-02-15,"l14_40050",3.684,"Davis","Davis (Purple Line)"
"204",2016-02-16,"l14_40050",3.515,"Davis","Davis (Purple Line)"
"205",2016-02-17,"l14_40050",3.695,"Davis","Davis (Purple Line)"
"206",2016-02-18,"l14_40050",3.801,"Davis","Davis (Purple Line)"
"207",2016-02-19,"l14_40050",3.8,"Davis","Davis (Purple Line)"
"208",2016-02-22,"l14_40050",3.488,"Davis","Davis (Purple Line)"
"209",2016-02-23,"l14_40050",3.66,"Davis","Davis (Purple Line)"
"210",2016-02-24,"l14_40050",3.549,"Davis","Davis (Purple Line)"
"211",2016-02-25,"l14_40050",3.86,"Davis","Davis (Purple Line)"
"212",2016-02-26,"l14_40050",3.851,"Davis","Davis (Purple Line)"
"213",2016-02-29,"l14_40050",3.064,"Davis","Davis (Purple Line)"
"214",2016-03-01,"l14_40050",3.823,"Davis","Davis (Purple Line)"
"215",2016-03-02,"l14_40050",3.692,"Davis","Davis (Purple Line)"
"216",2016-03-03,"l14_40050",3.798,"Davis","Davis (Purple Line)"
"217",2016-03-04,"l14_40050",3.834,"Davis","Davis (Purple Line)"
"218",2016-03-07,"l14_40050",3.633,"Davis","Davis (Purple Line)"
"219",2016-03-08,"l14_40050",3.697,"Davis","Davis (Purple Line)"
"220",2016-03-09,"l14_40050",3.497,"Davis","Davis (Purple Line)"
"221",2016-03-10,"l14_40050",3.706,"Davis","Davis (Purple Line)"
"222",2016-03-11,"l14_40050",3.963,"Davis","Davis (Purple Line)"
"223",2016-03-14,"l14_40050",3.47,"Davis","Davis (Purple Line)"
"224",2016-03-15,"l14_40050",3.582,"Davis","Davis (Purple Line)"
"225",2016-03-16,"l14_40050",3.706,"Davis","Davis (Purple Line)"
"226",2016-03-17,"l14_40050",3.681,"Davis","Davis (Purple Line)"
"227",2016-03-18,"l14_40050",3.924,"Davis","Davis (Purple Line)"
"228",2016-03-21,"l14_40050",3.637,"Davis","Davis (Purple Line)"
"229",2016-03-22,"l14_40050",3.73,"Davis","Davis (Purple Line)"
"230",2016-03-23,"l14_40050",3.656,"Davis","Davis (Purple Line)"
"231",2016-03-24,"l14_40050",3.785,"Davis","Davis (Purple Line)"
"232",2016-03-25,"l14_40050",3.969,"Davis","Davis (Purple Line)"
"233",2016-03-28,"l14_40050",3.597,"Davis","Davis (Purple Line)"
"234",2016-03-29,"l14_40050",3.703,"Davis","Davis (Purple Line)"
"235",2016-03-30,"l14_40050",3.699,"Davis","Davis (Purple Line)"
"236",2016-03-31,"l14_40050",3.809,"Davis","Davis (Purple Line)"
"237",2016-04-01,"l14_40050",3.831,"Davis","Davis (Purple Line)"
"238",2016-04-04,"l14_40050",3.486,"Davis","Davis (Purple Line)"
"239",2016-04-05,"l14_40050",3.572,"Davis","Davis (Purple Line)"
"240",2016-04-06,"l14_40050",3.34,"Davis","Davis (Purple Line)"
"241",2016-04-07,"l14_40050",3.284,"Davis","Davis (Purple Line)"
"242",2016-04-08,"l14_40050",3.373,"Davis","Davis (Purple Line)"
"243",2016-04-11,"l14_40050",3.519,"Davis","Davis (Purple Line)"
"244",2016-04-12,"l14_40050",3.885,"Davis","Davis (Purple Line)"
"245",2016-04-13,"l14_40050",3.676,"Davis","Davis (Purple Line)"
"246",2016-04-14,"l14_40050",3.739,"Davis","Davis (Purple Line)"
"247",2016-04-15,"l14_40050",4.011,"Davis","Davis (Purple Line)"
"248",2016-04-18,"l14_40050",3.604,"Davis","Davis (Purple Line)"
"249",2016-04-19,"l14_40050",3.644,"Davis","Davis (Purple Line)"
"250",2016-04-20,"l14_40050",3.531,"Davis","Davis (Purple Line)"
"251",2016-04-21,"l14_40050",3.721,"Davis","Davis (Purple Line)"
"252",2016-04-22,"l14_40050",3.92,"Davis","Davis (Purple Line)"
"253",2016-04-25,"l14_40050",3.738,"Davis","Davis (Purple Line)"
"254",2016-04-26,"l14_40050",3.732,"Davis","Davis (Purple Line)"
"255",2016-04-27,"l14_40050",3.837,"Davis","Davis (Purple Line)"
"256",2016-04-28,"l14_40050",4.044,"Davis","Davis (Purple Line)"
"257",2016-04-29,"l14_40050",3.978,"Davis","Davis (Purple Line)"
"258",2016-05-02,"l14_40050",3.715,"Davis","Davis (Purple Line)"
"259",2016-05-03,"l14_40050",3.797,"Davis","Davis (Purple Line)"
"260",2016-05-04,"l14_40050",3.746,"Davis","Davis (Purple Line)"
"261",2016-05-05,"l14_40050",3.738,"Davis","Davis (Purple Line)"
"262",2016-05-06,"l14_40050",3.786,"Davis","Davis (Purple Line)"
"263",2016-05-09,"l14_40050",3.506,"Davis","Davis (Purple Line)"
